From Branch,To Branch,Item# / SKU,Cat Cd,Effective From,Effective Thru,Percent Markup,From Branch Description,Short Item No,Alternate Item # / SKU,Reverse active lane
        AU01,        IN01,, ,01/29/2013,12/31/2069,10,MELBOURNE AU,,,no
        AU01,        IN03,, ,09/29/2023,12/31/2069,10,MELBOURNE AU,,,no
        AU01,        NZ01,, ,02/21/2025,12/31/2069,80,MELBOURNE AU,,,no
        AU01,        NZ04,, ,02/21/2025,12/31/2069,80,MELBOURNE AU,,,yes
        AU01,        US39,, ,03/05/2025,12/31/2069,70,MELBOURNE AU,,,yes
        AU02,        AU01,,A02,06/13/2023,12/31/2069,0,NEWCASTLE AU,,,
        AU02,        CN02,, ,08/19/2016,12/31/2069,50,NEWCASTLE AU,,,no
        AU02,        CN04,, ,08/19/2016,12/31/2069,50,NEWCASTLE AU,,,no
        AU02,        EU50,, ,02/19/2024,12/31/2069,30,NEWCASTLE AU,,,no
        AU02,        GB01,, ,02/19/2024,12/31/2069,30,NEWCASTLE AU,,,no
        AU02,        HK01,, ,03/24/2017,12/31/2069,191,NEWCASTLE AU,,,no
        AU02,        IN01,, ,04/10/2014,12/31/2069,10,NEWCASTLE AU,,,no
        AU02,        IN03,, ,09/29/2023,12/31/2069,10,NEWCASTLE AU,,,no
        AU02,        JP02,, ,08/22/2024,12/31/2069,50,NEWCASTLE AU,,,no
        AU02,        KR01,, ,05/08/2025,12/31/2069,50,NEWCASTLE AU,,,no
        AU02,        KR01,, ,08/22/2024,12/31/2069,60,NEWCASTLE AU,,,no
        AU02,        KR03,, ,08/22/2024,12/31/2069,50,NEWCASTLE AU,,,no
        AU02,        NZ01,, ,02/21/2025,12/31/2069,80,NEWCASTLE AU,,,no
        AU02,        NZ04,, ,02/21/2025,12/31/2069,80,NEWCASTLE AU,,,yes
        AU02,        SG05,, ,01/01/2012,12/31/2069,12.5,NEWCASTLE AU,,,no
        AU02,        TW01,, ,03/24/2017,12/31/2069,227,NEWCASTLE AU,,,no
        AU02,        US01,, ,02/21/2025,12/31/2069,70,NEWCASTLE AU,,,no
        AU02,        US02,, ,02/21/2025,12/31/2069,70,NEWCASTLE AU,,,no
        AU02,        US03,, ,02/21/2025,12/31/2069,70,NEWCASTLE AU,,,no
        CA01,        JP02,, ,03/09/2011,12/31/2069,100,"Burlington, Canada",,,no
        CA01,        KR01,, ,06/02/2017,12/31/2069,240,"Burlington, Canada",,,no
        CA01,        US01,, ,07/18/2014,12/31/2069,10,"Burlington, Canada",,,yes
